Rk,Player,WS,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team
1,Kareem Abdul-Jabbar,273.4,1969-70,1988-89,22-41,1560,789,19,36.8,10.2,18.1,10.2,18.1,0,0,4.3,6,2.4,9.3,11.2,3.6,0.9,2.6,2.7,3,24.6,0.559,0.56,0.056,0.721,0.592,0.559,C,"LAL,MIL"
2,LeBron James,269.9,2003-04,2024-25,19-40,1546,1544,21,37.8,9.9,19.6,8.3,14.9,1.6,4.7,5.5,7.5,1.2,6.4,7.5,7.4,1.5,0.7,3.5,1.8,27.1,0.507,0.556,0.35,0.736,0.59,0.548,F-G,"CLE,LAL,MIA"
3,Wilt Chamberlain,247.3,1959-60,1972-73,23-36,1045,,13,45.8,12.1,22.5,12.1,22.5,,,5.8,11.4,,,22.9,4.4,,,,2,30.1,0.54,0.54,,0.511,0.547,0.54,C,"LAL,PHI,PHW,SFW"
4,Karl Malone,234.6,1985-86,2003-04,22-40,1476,1471,14,37.2,9.2,17.8,9.1,17.5,0.1,0.2,6.6,8.9,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25,0.516,0.519,0.274,0.742,0.577,0.518,F,"LAL,UTA"
5,Chris Paul,214,2005-06,2024-25,20-39,1329,1289,12,33.8,6.1,12.9,4.7,9.2,1.4,3.7,3.6,4.2,0.6,3.8,4.4,9.3,2,0.2,2.3,2.4,17.2,0.469,0.51,0.368,0.871,0.581,0.522,G,"GSW,HOU,LAC,NOH,NOK,OKC,PHO,SAS"
6,Michael Jordan,214,1984-85,2002-03,21-39,1072,1039,14,38.3,11.4,22.9,10.8,21.2,0.5,1.7,6.8,8.2,1.6,4.7,6.2,5.3,2.3,0.8,2.7,2.6,30.1,0.497,0.51,0.327,0.835,0.569,0.509,G-F,"CHI,WAS"
7,John Stockton,207.7,1984-85,2002-03,22-40,1504,1300,10,31.8,4.7,9.1,4.1,7.6,0.6,1.5,3.2,3.9,0.6,2.1,2.7,10.5,2.2,0.2,2.8,2.6,13.1,0.515,0.541,0.384,0.826,0.608,0.546,G,UTA
8,Tim Duncan,206.4,1997-98,2015-16,21-39,1392,1389,15,34,7.4,14.6,7.4,14.5,0,0.1,4.2,6.1,2.8,8.1,10.8,3,0.7,2.2,2.4,2.4,19,0.506,0.509,0.179,0.696,0.551,0.507,F-C,SAS
9,Dirk Nowitzki,206.3,1998-99,2018-19,20-40,1522,1460,14,33.8,7.3,15.6,6,12.2,1.3,3.4,4.8,5.4,1,6.6,7.5,2.4,0.8,0.8,1.6,2.4,20.7,0.471,0.496,0.38,0.879,0.577,0.512,F-C,DAL
10,Kevin Garnett,191.4,1995-96,2015-16,19-39,1462,1425,15,34.5,7.2,14.5,7.1,14,0.1,0.4,3.3,4.2,2.2,7.8,10,3.7,1.3,1.4,2.2,2.4,17.8,0.497,0.504,0.275,0.789,0.546,0.501,F-C,"BOS,BRK,MIN"
